Probe_name,Mature_MiRNA
hsa-mir-020-prec,hsa-miR-20a
hsa-mir-029a-2No1,hsa-miR-29a
hsa-mir-030a-precNo2,hsa-miR-30a*
hsa-mir-030d-precNo1,hsa-miR-30d*
hsa-mir-16-2No1,hsa-miR-16
hsa-mir-194-1No1,hsa-miR-194
hsa-mir-196bNo1,hsa-miR-196b
hsa-mir-335No1,hsa-miR-335
hsa-mir-34aNo1,hsa-miR-34a
hsa-mir-374No1,hsa-miR-374a
hsa-miR-373*No2,hsa-miR-373
hsa-mir-520fNo1,hsa-miR-520f
hsa-mir-520hNo1,hsa-miR-520h
hsa-mir-521-2No1,hsa-miR-521
hsa-mir-527No1,hsa-miR-527
hsa-mir-329-1No1,hsa-miR-329
hsa-mir-361No1,hsa-miR-361-5p
hsa-mir-363No1,hsa-miR-363
hsa-mir-379No2,hsa-miR-379*
hsa-mir-384,hsa-miR-384
hsa-mir-4323p,hsa-miR-432*
hsa-mir-484,hsa-miR-484
hsa-mir-487No1,hsa-miR-487a
hsa-mir-489No1,hsa-miR-489
