Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
mmu-mir-211No2,mmu-mir-211,Mus musculus,no,NA
mmu-mir-181b-2No2,mmu-mir-181b-2,Mus musculus,no,NA
mmu-mir-7bNo2,mmu-mir-7b,Mus musculus,no,NA
hsa-mir-107No1,hsa-miR-107,Homo sapiens,yes,NA
hsa-mir-130bNo1,hsa-miR-130b,Homo sapiens,yes,NA
hsa-mir-200bNo1,hsa-miR-200b,Homo sapiens,yes,NA
hsa-mir-338No1,hsa-mir-338,Homo sapiens,no,NA
hsa-mir-368No1,hsa-miR-376c,Homo sapiens,yes,NA
hsa-mir-372No1,hsa-miR-372,Homo sapiens,yes,NA
hsa-mir-302aNo2,hsa-miR-302a*,Homo sapiens,yes,NA
hsa-mir-320No2,hsa-mir-320,Homo sapiens,no,NA
mmu-mir-452No2,mmu-mir-452,Mus musculus,no,NA
mmu-mir-464No2,mmu-mir-464,Mus musculus,no,NA
mmu-mir-466No2,mmu-miR-466a-5p,Mus musculus,yes,NA
mmu-mir-466 left,mmu-miR-466a-5p,Mus musculus,yes,NA
mmu-mir-138-prec,mmu-miR-138,Mus musculus,yes,NA
mmu-mir-143-prec,mmu-miR-143,Mus musculus,yes,NA
mmu-mir-149-prec,mmu-miR-149,Mus musculus,yes,NA
mmu-mir-189-prec,mmu-miR-24-1*,Mus musculus,yes,NA
mmu-mir-193-prec,mmu-miR-193,Mus musculus,yes,NA
mmu-mir-199as-prec,mmu-mir-199a-1,Mus musculus,no,NA
mmu-mir-216-precNo1,mmu-mir-216a,Mus musculus,no,NA
mmu-mir-218-2-precNo1,mmu-miR-218,Mus musculus,yes,NA
mmu-mir-221-precNo1,mmu-miR-221,Mus musculus,yes,NA
mmu-mir-29b-2No2,mmu-mir-29b-2,Mus musculus,no,NA
mmu-mir-124a-3No2,mmu-miR-124*,Mus musculus,yes,NA
mmu-mir-9-1No2,mmu-miR-9,Mus musculus,yes,NA
mmu-mir-292No2,mmu-mir-292,Mus musculus,no,NA
mmu-mir-300No2,mmu-miR-300*,Mus musculus,yes,NA
mmu-mir-130bNo2,mmu-miR-130b*,Mus musculus,yes,NA
mmu-mir-324No2,mmu-mir-324,Mus musculus,no,NA
mmu-mir-330No2,mmu-miR-330,Mus musculus,yes,NA
mmu-mir-338No2,mmu-mir-338,Mus musculus,no,NA
hsa-mir-492No1,hsa-miR-492,Homo sapiens,yes,NA
hsa-mir-494No1,hsa-miR-494,Homo sapiens,yes,NA
hsa-mir-496No1,hsa-miR-496,Homo sapiens,yes,NA
hsa-mir-504No1,hsa-miR-504,Homo sapiens,yes,NA
hsa-mir-506No1,hsa-miR-506,Homo sapiens,yes,NA
hsa-mir-508No1,hsa-mir-508,Homo sapiens,no,NA
hsa-mir-514-1No1,hsa-miR-514,Homo sapiens,yes,NA
hsa-mir-515-15p,hsa-miR-515-5p,Homo sapiens,yes,NA
hsa-mir-516-1No1,hsa-mir-516a-2,Homo sapiens,no,NA
hsa-mir-518a-2*,hsa-mir-518a-2,Homo sapiens,no,NA
hsa-mir-518c*,hsa-miR-518c*,Homo sapiens,yes,NA
hsa-mir-518e/526c,hsa-miR-518e*,Homo sapiens,yes,NA
hsa-mir-099b-prec-19No2,hsa-miR-99b,Homo sapiens,yes,NA
hsa-mir-101-1/2-precNo2,hsa-miR-101,Homo sapiens,yes,NA
hsa-mir-103-prec-5=103-1,hsa-miR-103,Homo sapiens,yes,NA
hsa-mir-128a-precNo1,hsa-mir-128-1,Homo sapiens,no,NA
hsa-mir-129-precNo1,hsa-miR-129-5p,Homo sapiens,yes,NA
